Axis	Dose
-62.0	29.7
-61.0	24.8
-60.0	26.1
-59.0	27.9
-58.0	29.9
-57.0	31.0
-56.0	31.5
-55.0	32.0
-54.0	32.3
-53.0	33.4
-52.0	34.9
-51.0	36.4
-50.0	37.8
-49.0	39.4
-48.0	40.9
-47.0	42.2
-46.0	43.6
-45.0	44.9
-44.0	46.1
-43.0	47.1
-42.0	48.1
-41.0	49.3
-40.0	50.5
-39.0	51.9
-38.0	53.7
-37.0	55.7
-36.0	57.8
-35.0	59.9
-34.0	62.2
-33.0	64.7
-32.0	67.3
-31.0	70.0
-30.0	72.8
-29.0	75.2
-28.0	77.2
-27.0	79.3
-26.0	81.2
-25.0	83.1
-24.0	84.9
-23.0	86.4
-22.0	87.8
-21.0	88.8
-20.0	89.7
-19.0	90.7
-18.0	91.7
-17.0	92.4
-16.0	93.1
-15.0	93.6
-14.0	94.1
-13.0	94.7
-12.0	95.3
-11.0	95.9
-10.0	96.5
-9.0	96.9
-8.0	97.4
-7.0	97.9
-6.0	98.5
-5.0	99.0
-4.0	99.3
-3.0	99.6
-2.0	99.8
-1.0	99.9
0.0	100.0
1.0	99.9
2.0	99.8
3.0	99.6
4.0	99.3
5.0	99.0
6.0	98.5
7.0	97.9
8.0	97.4
9.0	96.9
10.0	96.5
11.0	95.9
12.0	95.3
13.0	94.7
14.0	94.1
15.0	93.6
16.0	93.1
17.0	92.4
18.0	91.7
19.0	90.7
20.0	89.7
21.0	88.8
22.0	87.8
23.0	86.4
24.0	84.9
25.0	83.1
26.0	81.2
27.0	79.3
28.0	77.2
29.0	75.2
30.0	72.8
31.0	70.0
32.0	67.3
33.0	64.7
34.0	62.2
35.0	59.9
36.0	57.8
37.0	55.7
38.0	53.7
39.0	51.9
40.0	50.5
41.0	49.3
42.0	48.1
43.0	47.1
44.0	46.1
45.0	44.9
46.0	43.6
47.0	42.2
48.0	40.9
49.0	39.4
50.0	37.8
51.0	36.4
52.0	34.9
53.0	33.4
54.0	32.3
55.0	32.0
56.0	31.5
57.0	31.0
58.0	29.9
59.0	27.9
60.0	26.1
61.0	24.8
62.0	29.7
