Axis	Dose
-62.1	1.0
-61.9	1.0
-61.7	1.0
-61.5	1.0
-61.3	1.0
-61.1	1.0
-60.9	1.0
-60.7	1.0
-60.5	1.0
-60.3	1.1
-60.1	1.1
-59.9	1.1
-59.7	1.1
-59.5	1.1
-59.3	1.1
-59.1	1.2
-58.9	1.2
-58.7	1.2
-58.5	1.2
-58.3	1.3
-58.1	1.3
-57.9	1.3
-57.7	1.3
-57.5	1.3
-57.3	1.4
-57.1	1.4
-56.9	1.4
-56.7	1.4
-56.5	1.4
-56.3	1.4
-56.1	1.5
-55.9	1.5
-55.7	1.5
-55.5	1.5
-55.3	1.5
-55.1	1.5
-54.9	1.5
-54.7	1.6
-54.5	1.6
-54.3	1.6
-54.1	1.6
-53.9	1.7
-53.7	1.7
-53.5	1.7
-53.3	1.7
-53.1	1.8
-52.9	1.8
-52.7	1.8
-52.5	1.9
-52.3	1.9
-52.1	1.9
-51.9	2.0
-51.7	2.0
-51.5	2.0
-51.3	2.1
-51.1	2.1
-50.9	2.1
-50.7	2.2
-50.5	2.2
-50.3	2.2
-50.1	2.3
-49.9	2.3
-49.7	2.4
-49.5	2.4
-49.3	2.4
-49.1	2.5
-48.9	2.5
-48.7	2.6
-48.5	2.6
-48.3	2.6
-48.1	2.7
-47.9	2.7
-47.7	2.8
-47.5	2.8
-47.3	2.9
-47.1	2.9
-46.9	3.0
-46.7	3.1
-46.5	3.1
-46.3	3.2
-46.1	3.3
-45.9	3.3
-45.7	3.4
-45.5	3.5
-45.3	3.5
-45.1	3.6
-44.9	3.7
-44.7	3.8
-44.5	3.9
-44.3	3.9
-44.1	4.0
-43.9	4.1
-43.7	4.2
-43.5	4.3
-43.3	4.4
-43.1	4.5
-42.9	4.6
-42.7	4.7
-42.5	4.8
-42.3	5.0
-42.1	5.1
-41.9	5.3
-41.7	5.4
-41.5	5.6
-41.3	5.7
-41.1	5.9
-40.9	6.1
-40.7	6.3
-40.5	6.6
-40.3	6.8
