Axis	Dose
-125.0	0.3
-124.5	0.5
-123.6	0.5
-122.8	0.6
-122.2	0.5
-121.6	0.5
-121.0	0.7
-120.5	0.4
-120.0	0.5
-119.6	0.6
-119.2	0.6
-118.8	0.5
-118.3	0.6
-117.8	0.5
-117.3	0.6
-116.8	0.5
-116.3	0.6
-115.8	0.6
-115.2	0.6
-114.7	0.6
-114.2	0.4
-113.7	0.7
-113.2	0.4
-112.7	0.7
-112.2	0.6
-111.7	0.5
-111.2	0.6
-110.7	0.6
-110.2	0.4
-109.7	0.7
-109.2	0.5
-108.7	0.6
-108.2	0.6
-107.7	0.6
-107.2	0.6
-106.7	0.6
-106.2	0.6
-105.7	0.8
-105.2	0.4
-104.6	0.7
-104.1	0.6
-103.6	0.6
-103.1	0.6
-102.6	0.6
-102.1	0.8
-101.6	0.6
-101.1	0.5
-100.6	0.8
-100.1	0.5
-99.6	0.7
-99.1	0.5
-98.6	0.8
-98.1	0.5
-97.6	0.6
-97.1	0.8
-96.6	0.6
-96.1	0.7
-95.5	0.8
-95.0	0.7
-94.5	0.7
-94.0	0.6
-93.5	0.7
-93.0	0.8
-92.5	0.7
-92.0	0.8
-91.5	0.8
-91.0	0.6
-90.5	0.8
-90.0	0.8
-89.5	0.8
-89.0	0.7
-88.5	0.8
-88.0	0.9
-87.5	0.8
-87.0	0.7
-86.5	0.9
-86.0	0.7
-85.5	0.9
-85.0	0.8
-84.5	0.8
-84.0	0.9
-83.5	0.8
-83.0	0.8
-82.5	0.9
-82.0	0.9
-81.5	0.9
-81.0	0.9
-80.5	0.8
-80.0	1.0
-79.4	1.0
-78.9	0.9
-78.4	0.9
-77.9	1.1
-77.4	0.9
-76.9	0.9
-76.4	1.1
-75.9	1.0
-75.4	1.0
-74.9	1.1
-74.4	1.0
-73.9	1.0
-73.4	1.2
-72.8	1.1
-72.3	1.0
-71.8	1.1
-71.3	1.2
-70.8	1.1
-70.3	1.2
-69.8	1.2
-69.3	1.1
-68.8	1.2
-68.3	1.2
-67.8	1.2
-67.3	1.2
-66.8	1.3
-66.3	1.2
-65.8	1.4
-65.3	1.2
-64.8	1.4
-64.2	1.3
-63.7	1.3
-63.2	1.5
-62.7	1.3
-62.2	1.3
-61.7	1.5
-61.2	1.5
-60.7	1.6
-60.2	1.5
-59.7	1.6
-59.2	1.5
-58.7	1.7
-58.2	1.6
-57.7	1.5
-57.2	1.7
-56.7	1.7
-56.2	1.8
-55.7	1.7
-55.2	1.9
-54.7	1.7
-54.2	1.9
-53.7	1.9
-53.2	1.9
-52.7	1.9
-52.2	2.1
-51.7	2.0
-51.2	2.1
-50.7	2.2
-50.2	2.0
-49.6	2.2
-49.1	2.2
-48.6	2.3
-48.1	2.3
-47.6	2.3
-47.1	2.5
-46.6	2.4
-46.1	2.6
-45.6	2.5
-45.1	2.6
-44.6	2.8
-44.1	2.7
-43.6	2.9
-43.1	2.8
-42.6	3.0
-42.1	2.8
-41.6	3.2
-41.1	3.1
-40.6	3.2
-40.1	3.3
-39.6	3.3
-39.1	3.6
-38.6	3.5
-38.1	3.7
-37.6	3.6
-37.0	3.9
-36.5	4.0
-36.0	4.1
-35.5	4.2
-35.0	4.3
-34.5	4.7
-34.0	4.8
-33.5	5.1
-33.0	5.2
-32.6	5.6
-32.2	5.7
-31.9	6.0
-31.5	6.2
-31.0	6.8
-30.4	7.5
-29.8	8.3
-29.3	9.3
-28.9	10.8
-28.4	12.5
-27.9	14.8
-27.4	18.0
-26.9	21.9
-26.4	26.4
-25.9	30.9
-25.4	35.9
-24.9	40.6
-24.4	45.1
-23.9	49.2
-23.4	52.7
-22.9	55.1
-22.4	57.3
-21.8	58.8
-21.3	60.0
-20.8	60.8
-20.3	61.5
-19.8	62.1
-19.3	62.4
-18.8	62.8
-18.3	63.3
-17.8	63.2
-17.3	63.5
-16.8	63.7
-16.3	63.8
-15.8	63.9
-15.2	64.2
-14.6	64.4
-14.1	64.2
-13.5	64.5
-13.1	64.6
-12.6	64.7
-12.1	64.7
-11.6	64.8
-11.1	64.8
-10.6	65.0
-10.1	64.8
-9.6	64.7
-9.1	64.9
-8.6	65.0
-8.1	65.0
-7.6	65.0
-7.0	65.1
-6.5	65.2
-6.0	65.0
-5.5	65.1
-5.0	65.0
-4.5	65.3
-4.0	65.3
-3.5	65.2
-3.0	65.3
-2.6	65.2
-2.2	65.3
-1.7	65.3
-1.2	65.4
-0.7	65.3
-0.2	65.3
0.4	65.2
0.8	65.4
1.3	65.3
1.8	65.3
2.3	65.1
2.9	65.1
3.4	65.2
3.9	65.3
4.4	65.5
4.9	65.2
5.4	65.3
5.9	65.3
6.4	65.3
6.9	65.3
7.5	65.1
8.1	64.8
8.6	65.0
9.2	65.1
9.7	64.8
10.2	64.7
10.6	64.8
11.1	65.1
11.6	64.7
12.1	64.8
12.6	64.7
13.1	64.6
13.7	64.3
14.2	64.4
14.7	64.1
15.2	64.3
15.7	64.2
16.2	64.1
16.7	63.9
17.2	63.8
17.7	63.5
18.2	63.3
18.7	62.8
19.2	62.7
19.6	62.0
20.0	61.8
20.5	61.1
21.0	60.1
21.6	59.0
22.1	57.4
22.6	55.1
23.1	52.5
23.6	48.8
24.1	44.5
24.6	40.2
25.1	35.2
25.6	30.2
26.1	25.4
26.6	21.2
27.1	17.5
27.6	14.5
28.1	12.3
28.6	10.6
29.1	9.2
29.6	8.1
30.1	7.4
30.6	6.7
31.1	6.2
31.6	5.9
32.1	5.5
32.6	5.1
33.1	5.0
33.6	4.7
34.2	4.6
34.6	4.4
35.2	4.2
35.7	4.1
36.2	4.0
36.8	3.9
37.4	3.6
38.0	3.6
38.6	3.5
39.2	3.4
39.7	3.3
40.2	3.3
40.7	3.1
41.2	3.1
41.7	3.1
42.1	2.9
42.6	2.9
43.1	2.7
43.6	2.8
44.2	2.6
44.7	2.6
45.2	2.5
45.7	2.4
46.2	2.5
46.8	2.4
47.3	2.3
47.8	2.3
48.3	2.3
48.8	2.2
49.3	2.1
49.8	2.1
50.3	2.3
50.8	1.9
51.3	2.0
51.9	2.1
52.4	1.9
52.9	2.0
53.4	1.9
53.9	1.8
54.4	2.0
54.9	1.6
55.4	1.7
55.9	1.8
56.4	1.6
56.9	1.9
57.4	1.6
57.9	1.5
58.4	1.7
59.0	1.4
59.5	1.7
60.0	1.3
60.5	1.5
61.0	1.5
61.5	1.5
62.0	1.4
62.5	1.4
63.0	1.1
63.5	1.6
64.0	1.2
64.5	1.3
65.0	1.3
65.5	1.3
66.0	1.3
66.5	1.2
67.1	1.3
67.6	1.3
68.0	1.1
68.6	1.2
69.1	1.0
69.6	1.2
70.1	1.1
70.6	1.1
71.1	1.0
71.6	1.3
72.1	1.0
72.6	1.1
73.2	1.0
73.7	1.1
74.2	0.9
74.7	1.1
75.2	0.9
75.7	1.0
76.2	1.0
76.7	0.9
77.2	1.1
77.7	0.9
78.2	0.9
78.7	1.0
79.2	0.9
79.7	0.9
80.2	0.9
80.7	1.0
81.2	0.9
81.7	0.9
82.2	0.8
82.7	0.8
83.2	0.8
83.7	0.9
84.2	0.8
84.8	0.8
85.3	0.8
85.8	0.8
86.3	0.8
86.8	0.8
87.3	0.8
87.8	0.8
88.3	0.7
88.8	0.9
89.3	0.7
89.8	0.6
90.3	0.9
90.8	0.7
91.3	0.6
91.8	0.9
92.3	0.7
92.8	0.7
93.3	0.8
93.8	0.7
94.3	0.7
94.8	0.7
95.3	0.7
95.9	0.6
96.4	0.8
96.9	0.6
97.4	0.6
97.8	0.7
98.4	0.6
98.8	0.8
99.4	0.6
99.9	0.8
100.4	0.5
100.9	0.7
101.4	0.6
101.9	0.6
102.4	0.7
102.9	0.6
103.4	0.6
103.9	0.6
104.4	0.7
104.9	0.6
105.4	0.6
105.9	0.6
106.4	0.6
106.9	0.6
107.4	0.7
107.9	0.5
108.4	0.7
108.9	0.5
109.5	0.6
110.0	0.6
110.5	0.6
111.0	0.6
111.5	0.6
112.0	0.6
112.5	0.6
113.0	0.4
113.5	0.7
114.0	0.6
114.5	0.5
115.0	0.6
115.5	0.6
116.0	0.5
116.5	0.5
117.0	0.8
117.5	0.4
118.0	0.5
118.5	0.7
119.0	0.5
119.5	0.6
120.1	0.5
120.6	0.5
121.1	0.6
121.6	0.5
122.0	0.6
122.6	0.5
123.1	0.4
123.6	0.8
124.1	0.4
125.0	0.5
