Axis	Dose
-61.7	0.3
-61.5	0.3
-61.3	0.4
-61.1	0.4
-60.9	0.4
-60.7	0.4
-60.5	0.5
-60.3	0.5
-60.1	0.5
-59.9	0.6
-59.7	0.6
-59.5	0.6
-59.3	0.6
-59.1	0.6
-58.9	0.6
-58.7	0.6
-58.5	0.6
-58.3	0.6
-58.1	0.6
-57.9	0.6
-57.7	0.7
-57.5	0.7
-57.3	0.7
-57.1	0.7
-56.9	0.7
-56.7	0.7
-56.5	0.7
-56.3	0.7
-56.1	0.7
-55.9	0.7
-55.7	0.7
-55.5	0.7
-55.3	0.7
-55.1	0.7
-54.9	0.7
-54.7	0.7
-54.5	0.7
-54.3	0.7
-54.1	0.7
-53.9	0.7
-53.7	0.8
-53.5	0.8
-53.3	0.8
-53.1	0.8
-52.9	0.9
-52.7	0.9
-52.5	0.9
-52.3	0.9
-52.1	0.9
-51.9	0.9
-51.7	1.0
-51.5	1.0
-51.3	1.0
-51.1	1.0
-50.9	1.0
-50.7	1.1
-50.5	1.1
-50.3	1.1
-50.1	1.2
-49.9	1.3
-49.7	1.3
-49.5	1.4
-49.3	1.5
-49.1	1.6
-48.9	1.7
-48.7	1.7
-48.5	1.8
-48.3	1.9
-48.1	2.0
-47.9	2.0
-47.7	2.1
-47.5	2.2
-47.3	2.3
-47.1	2.4
-46.9	2.5
-46.7	2.6
-46.5	2.7
-46.3	2.8
-46.1	3.0
-45.9	3.1
-45.7	3.3
-45.5	3.4
-45.3	3.6
-45.1	3.8
-44.9	4.0
-44.7	4.2
-44.5	4.4
-44.3	4.6
-44.1	4.8
-43.9	5.0
-43.7	5.3
-43.5	5.5
-43.3	5.8
-43.1	6.0
-42.9	6.3
-42.7	6.6
-42.5	6.9
-42.3	7.2
-42.1	7.5
-41.9	7.8
-41.7	8.2
-41.5	8.5
-41.3	8.9
-41.1	9.3
-40.9	9.7
-40.7	10.1
-40.5	10.6
-40.3	11.0
-40.1	11.4
-39.9	11.9
-39.7	12.4
-39.5	12.9
-39.3	13.5
-39.1	14.0
-38.9	14.6
-38.7	15.2
-38.5	15.7
-38.3	16.3
-38.1	16.9
-37.9	17.6
-37.7	18.2
-37.5	18.9
-37.3	19.6
-37.1	20.3
-36.9	21.0
-36.7	21.7
-36.5	22.4
-36.3	23.1
-36.1	23.9
-35.9	24.6
-35.7	25.4
-35.5	26.1
-35.3	27.0
-35.1	27.8
-34.9	28.7
-34.7	29.6
-34.5	30.5
-34.3	31.4
-34.1	32.3
-33.9	33.1
-33.7	33.9
-33.5	34.7
-33.3	35.6
-33.1	36.6
-32.9	37.5
-32.7	38.5
-32.5	39.5
-32.3	40.5
-32.1	41.4
-31.9	42.3
-31.7	43.3
-31.5	44.2
-31.3	45.2
-31.1	46.2
-30.9	47.3
-30.7	48.4
-30.5	49.5
-30.3	50.5
-30.1	51.6
-29.9	52.6
-29.7	53.6
-29.5	54.6
-29.3	55.5
-29.1	56.5
-28.9	57.4
-28.7	58.3
-28.5	59.1
-28.3	60.0
-28.1	60.9
-27.9	61.8
-27.7	62.7
-27.5	63.6
-27.3	64.4
-27.1	65.3
-26.9	66.2
-26.7	67.1
-26.5	67.9
-26.3	68.7
-26.1	69.5
-25.9	70.2
-25.7	70.9
-25.5	71.6
-25.3	72.4
-25.1	73.3
-24.9	74.3
-24.7	75.2
-24.5	76.0
-24.3	76.8
-24.1	77.5
-23.9	78.2
-23.7	78.8
-23.5	79.4
-23.3	80.0
-23.1	80.6
-22.9	81.2
-22.7	81.8
-22.5	82.4
-22.3	83.0
-22.1	83.6
-21.9	84.1
-21.7	84.6
-21.5	85.1
-21.3	85.5
-21.1	86.0
-20.9	86.5
-20.7	87.2
-20.5	87.8
-20.3	88.4
-20.1	88.9
-19.9	89.3
-19.7	89.6
-19.5	90.0
-19.3	90.2
-19.1	90.5
-18.9	90.8
-18.7	91.0
-18.5	91.3
-18.3	91.5
-18.1	91.8
-17.9	92.1
-17.7	92.3
-17.5	92.6
-17.3	92.8
-17.1	93.1
-16.9	93.4
-16.7	93.6
-16.5	94.0
-16.3	94.3
-16.1	94.6
-15.9	94.9
-15.7	95.1
-15.5	95.3
-15.3	95.5
-15.1	95.7
-14.9	95.9
-14.7	96.1
-14.5	96.3
-14.3	96.6
-14.1	96.8
-13.9	97.0
-13.7	97.1
-13.5	97.2
-13.3	97.2
-13.1	97.1
-12.9	97.0
-12.7	97.0
-12.5	97.1
-12.3	97.2
-12.1	97.3
-11.9	97.4
-11.7	97.6
-11.5	97.7
-11.3	98.0
-11.1	98.2
-10.9	98.5
-10.7	98.7
-10.5	98.8
-10.3	98.8
-10.1	98.8
-9.9	98.8
-9.7	98.9
-9.5	98.9
-9.3	98.9
-9.1	98.8
-8.9	98.7
-8.7	98.6
-8.5	98.6
-8.3	98.6
-8.1	98.7
-7.9	98.8
-7.7	98.8
-7.5	98.8
-7.3	98.8
-7.1	98.8
-6.9	98.7
-6.7	98.8
-6.5	98.8
-6.3	98.9
-6.1	98.9
-5.9	99.0
-5.7	99.1
-5.5	99.2
-5.3	99.3
-5.1	99.5
-4.9	99.6
-4.7	99.6
-4.5	99.6
-4.3	99.6
-4.1	99.4
-3.9	99.4
-3.7	99.3
-3.5	99.4
-3.3	99.5
-3.1	99.5
-2.9	99.5
-2.7	99.5
-2.5	99.5
-2.3	99.4
-2.1	99.4
-1.9	99.3
-1.7	99.3
-1.5	99.4
-1.3	99.5
-1.1	99.7
-0.9	100.0
-0.7	100.1
-0.5	100.2
-0.3	100.2
-0.1	100.1
0.1	100.0
0.3	99.8
0.5	99.5
0.7	99.3
0.9	99.2
1.1	99.2
1.3	99.2
1.5	99.3
1.7	99.3
1.9	99.4
2.1	99.4
2.3	99.4
2.5	99.3
2.7	99.3
2.9	99.3
3.1	99.3
3.3	99.2
3.5	99.2
3.7	99.3
3.9	99.3
4.1	99.4
4.3	99.5
4.5	99.6
4.7	99.6
4.9	99.6
5.1	99.6
5.3	99.5
5.5	99.4
5.7	99.3
5.9	99.2
6.1	99.1
6.3	99.0
6.5	98.8
6.7	98.7
6.9	98.7
7.1	98.7
7.3	98.7
7.5	98.7
7.7	98.8
7.9	98.8
8.1	98.8
8.3	98.9
8.5	98.9
8.7	99.0
8.9	99.0
9.1	99.0
9.3	99.0
9.5	99.0
9.7	98.9
9.9	98.8
10.1	98.6
10.3	98.5
10.5	98.3
10.7	98.2
10.9	98.1
11.1	98.1
11.3	98.0
11.5	98.0
11.7	97.9
11.9	97.8
12.1	97.6
12.3	97.5
12.5	97.4
12.7	97.3
12.9	97.3
13.1	97.3
13.3	97.3
13.5	97.2
13.7	97.1
13.9	97.0
14.1	96.9
14.3	96.7
14.5	96.6
14.7	96.4
14.9	96.3
15.1	96.1
15.3	96.0
15.5	95.9
15.7	95.7
15.9	95.4
16.1	95.1
16.3	94.8
16.5	94.5
16.7	94.1
16.9	93.9
17.1	93.7
17.3	93.6
17.5	93.5
17.7	93.3
17.9	93.1
18.1	92.9
18.3	92.6
18.5	92.3
18.7	92.0
18.9	91.6
19.1	91.3
19.3	90.9
19.5	90.5
19.7	90.0
19.9	89.6
20.1	89.2
20.3	88.7
