Axis	Dose
137.5	0.4
137.0	0.4
136.0	0.5
135.3	0.3
134.7	0.6
134.1	0.4
133.5	0.5
133.0	0.3
132.6	0.5
132.1	0.4
131.7	0.6
131.3	0.3
130.8	0.5
130.3	0.5
129.8	0.4
129.3	0.5
128.7	0.5
128.2	0.4
127.7	0.5
127.1	0.5
126.6	0.4
126.1	0.7
125.6	0.5
125.1	0.4
124.6	0.5
124.1	0.6
123.6	0.6
123.1	0.4
122.6	0.4
122.1	0.5
121.6	0.5
121.1	0.6
120.6	0.6
120.1	0.4
119.6	0.6
119.1	0.5
118.6	0.6
118.1	0.5
117.6	0.4
117.1	0.6
116.6	0.5
116.1	0.5
115.6	0.6
115.1	0.5
114.6	0.6
114.1	0.4
113.6	0.6
113.0	0.7
112.6	0.5
112.0	0.6
111.5	0.6
111.0	0.6
110.5	0.5
110.0	0.6
109.5	0.6
109.0	0.6
108.5	0.5
108.0	0.7
107.5	0.6
107.0	0.7
106.5	0.4
105.9	0.7
105.4	0.6
104.9	0.6
104.4	0.6
103.9	0.7
103.4	0.6
102.9	0.7
102.4	0.7
101.9	0.5
101.4	0.8
100.9	0.7
100.4	0.6
99.9	0.7
99.4	0.7
98.9	0.7
98.4	0.7
97.9	0.6
97.4	0.7
96.9	0.8
96.4	0.5
95.9	0.9
95.4	0.7
94.9	0.7
94.3	0.8
93.8	0.7
93.3	0.6
92.8	0.9
92.3	0.6
91.8	0.9
91.3	0.7
90.8	0.8
90.3	0.8
89.8	0.7
89.3	0.9
88.8	0.8
88.3	0.6
87.8	0.9
87.3	0.8
86.8	1.0
86.3	0.7
85.8	0.9
85.3	0.9
84.8	1.0
84.3	0.7
83.8	1.0
83.3	0.8
82.8	0.9
82.2	1.0
81.8	0.9
81.2	0.8
80.7	1.1
80.2	0.8
79.7	1.0
79.2	0.9
78.7	1.0
78.2	1.0
77.7	1.0
77.2	1.0
76.7	1.0
76.2	1.1
75.7	1.1
75.2	1.0
74.7	1.0
74.2	1.0
73.7	1.2
73.2	1.1
