Axis	Dose
118.8	0.4
118.2	0.5
117.3	0.5
116.6	0.6
115.9	0.5
115.3	0.6
114.8	0.5
114.3	0.6
113.8	0.6
113.4	0.4
112.9	0.6
112.5	0.6
112.1	0.6
111.6	0.6
111.1	0.4
110.6	0.6
110.0	0.5
109.5	0.6
108.9	0.6
108.4	0.7
107.9	0.7
107.4	0.4
106.9	0.7
106.4	0.6
105.9	0.6
105.4	0.6
104.9	0.6
104.4	0.7
103.9	0.6
103.4	0.5
102.9	0.6
102.4	0.6
101.9	0.6
101.4	0.6
100.9	0.6
100.4	0.6
99.9	0.5
99.4	0.7
98.9	0.5
98.4	0.7
97.8	0.7
97.3	0.5
96.8	0.8
96.3	0.5
95.8	0.6
95.3	0.7
94.8	0.7
94.3	0.7
93.8	0.6
93.3	0.6
92.8	0.8
92.3	0.6
91.8	0.7
91.3	0.7
90.8	0.7
90.3	0.6
89.7	0.7
89.3	0.6
88.8	0.6
88.3	0.8
87.7	0.6
87.2	0.8
86.7	0.6
86.2	0.8
85.7	0.6
85.2	0.8
84.7	0.7
84.2	0.8
83.7	0.6
83.2	0.8
82.7	0.7
82.2	0.8
81.7	0.8
81.1	0.7
80.6	0.6
80.1	1.0
79.6	0.8
79.1	0.7
78.6	0.9
78.1	0.8
77.6	0.9
77.1	0.7
76.6	0.9
76.1	0.8
75.6	0.9
75.1	0.9
74.6	0.8
74.1	1.0
73.6	0.9
73.1	0.9
72.6	0.8
72.1	1.1
71.6	0.9
71.0	1.0
70.5	0.9
70.0	0.9
69.5	1.0
69.0	1.0
68.5	1.0
68.0	1.0
67.5	1.0
67.0	1.1
66.5	1.1
66.0	0.9
65.5	1.1
65.0	1.0
64.5	1.2
64.0	1.0
63.5	1.2
63.0	1.1
62.5	1.2
61.9	1.0
61.4	1.2
60.9	1.2
60.4	1.2
59.9	1.3
59.4	1.2
58.9	1.3
58.4	1.4
57.9	1.2
57.4	1.4
56.9	1.3
56.4	1.4
55.9	1.3
55.4	1.5
54.8	1.6
54.3	1.4
53.8	1.4
53.3	1.7
52.8	1.5
52.3	1.6
51.8	1.6
51.3	1.7
50.8	1.7
50.3	1.8
49.8	1.7
49.2	1.9
48.7	1.8
48.2	1.9
47.7	1.8
47.2	2.0
46.7	2.1
46.2	2.0
45.7	2.1
45.2	2.2
44.7	2.0
44.2	2.3
43.7	2.4
43.2	2.3
42.6	2.4
42.1	2.5
41.6	2.6
41.1	2.5
40.6	2.7
40.1	2.8
39.6	2.9
39.1	3.0
38.6	3.1
38.1	3.0
37.6	3.3
37.1	3.3
