Axis	Dose
-61.4	0.4
-61.2	0.4
-61.0	0.4
-60.8	0.5
-60.6	0.5
-60.4	0.5
-60.2	0.5
-60.0	0.5
-59.8	0.5
-59.6	0.5
-59.4	0.5
-59.2	0.5
-59.0	0.5
-58.8	0.5
-58.6	0.5
-58.4	0.5
-58.2	0.5
-58.0	0.5
-57.8	0.5
-57.6	0.5
-57.4	0.5
-57.2	0.5
-57.0	0.6
-56.8	0.6
-56.6	0.6
-56.4	0.6
-56.2	0.6
-56.0	0.6
-55.8	0.6
-55.6	0.6
-55.4	0.6
-55.2	0.6
-55.0	0.5
-54.8	0.6
-54.6	0.6
-54.4	0.6
-54.2	0.6
-54.0	0.6
-53.8	0.6
-53.6	0.7
-53.4	0.7
-53.2	0.7
-53.0	0.7
-52.8	0.7
-52.6	0.8
-52.4	0.8
-52.2	0.8
-52.0	0.9
-51.8	0.9
-51.6	1.0
-51.4	1.0
-51.2	1.0
-51.0	1.1
-50.8	1.1
-50.6	1.2
-50.4	1.2
-50.2	1.3
-50.0	1.3
-49.8	1.4
-49.6	1.4
-49.4	1.5
-49.2	1.6
-49.0	1.6
-48.8	1.7
-48.6	1.8
-48.4	1.9
-48.2	1.9
-48.0	2.0
-47.8	2.1
-47.6	2.2
-47.4	2.3
-47.2	2.4
-47.0	2.5
-46.8	2.7
-46.6	2.8
-46.4	2.9
-46.2	3.0
-46.0	3.1
-45.8	3.3
-45.6	3.4
-45.4	3.6
-45.2	3.7
-45.0	3.9
-44.8	4.1
-44.6	4.2
-44.4	4.4
-44.2	4.6
-44.0	4.8
-43.8	5.1
-43.6	5.3
-43.4	5.5
-43.2	5.8
-43.0	6.0
-42.8	6.3
-42.6	6.6
-42.4	6.9
-42.2	7.2
-42.0	7.6
-41.8	7.9
-41.6	8.2
-41.4	8.6
-41.2	8.9
-41.0	9.3
-40.8	9.7
-40.6	10.1
-40.4	10.5
-40.2	10.9
-40.0	11.3
-39.8	11.8
-39.6	12.3
-39.4	12.8
-39.2	13.3
-39.0	13.8
-38.8	14.3
-38.6	14.9
-38.4	15.5
-38.2	16.1
-38.0	16.7
-37.8	17.4
-37.6	18.0
-37.4	18.6
-37.2	19.3
-37.0	19.9
-36.8	20.6
-36.6	21.3
-36.4	22.1
-36.2	22.8
-36.0	23.6
-35.8	24.4
-35.6	25.2
-35.4	26.1
-35.2	26.9
-35.0	27.8
-34.8	28.6
-34.6	29.5
-34.4	30.4
-34.2	31.3
-34.0	32.2
-33.8	33.2
-33.6	34.1
-33.4	35.1
-33.2	36.1
-33.0	37.2
-32.8	38.2
-32.6	39.2
-32.4	40.2
-32.2	41.3
-32.0	42.3
-31.8	43.4
-31.6	44.4
-31.4	45.6
-31.2	46.7
-31.0	47.8
-30.8	48.9
-30.6	49.9
-30.4	51.0
-30.2	52.0
-30.0	53.1
-29.8	54.2
-29.6	55.2
-29.4	56.2
-29.2	57.2
-29.0	58.2
-28.8	59.2
-28.6	60.3
-28.4	61.2
-28.2	62.2
-28.0	63.1
-27.8	64.1
-27.6	65.0
-27.4	65.9
-27.2	66.9
-27.0	67.8
-26.8	68.7
-26.6	69.6
-26.4	70.5
-26.2	71.3
-26.0	72.1
-25.8	72.9
-25.6	73.7
-25.4	74.5
-25.2	75.3
-25.0	76.1
-24.8	76.8
-24.6	77.5
-24.4	78.2
-24.2	78.9
-24.0	79.6
-23.8	80.2
-23.6	80.9
-23.4	81.5
-23.2	82.1
-23.0	82.7
-22.8	83.3
-22.6	83.9
-22.4	84.4
-22.2	84.9
-22.0	85.4
-21.8	85.9
-21.6	86.3
-21.4	86.8
-21.2	87.3
-21.0	87.7
-20.8	88.2
-20.6	88.6
-20.4	89.0
-20.2	89.4
-20.0	89.7
-19.8	90.1
-19.6	90.5
-19.4	90.9
-19.2	91.3
-19.0	91.6
-18.8	91.9
-18.6	92.2
-18.4	92.5
-18.2	92.7
-18.0	93.0
-17.8	93.2
-17.6	93.5
-17.4	93.7
-17.2	93.9
-17.0	94.2
-16.8	94.4
-16.6	94.7
-16.4	94.9
-16.2	95.0
-16.0	95.1
-15.8	95.2
-15.6	95.4
-15.4	95.5
-15.2	95.7
-15.0	95.9
-14.8	96.1
-14.6	96.3
-14.4	96.5
-14.2	96.7
-14.0	96.8
-13.8	97.0
-13.6	97.2
-13.4	97.3
-13.2	97.5
-13.0	97.6
-12.8	97.8
-12.6	97.9
-12.4	98.0
-12.2	98.1
-12.0	98.2
-11.8	98.3
-11.6	98.3
-11.4	98.4
-11.2	98.4
-11.0	98.4
-10.8	98.5
-10.6	98.5
-10.4	98.5
-10.2	98.6
-10.0	98.6
-9.8	98.7
-9.6	98.8
-9.4	98.8
-9.2	98.9
-9.0	99.0
-8.8	99.0
-8.6	99.1
-8.4	99.1
-8.2	99.2
-8.0	99.2
-7.8	99.2
-7.6	99.3
-7.4	99.4
-7.2	99.4
-7.0	99.5
-6.8	99.5
-6.6	99.6
-6.4	99.6
-6.2	99.6
-6.0	99.6
-5.8	99.6
-5.6	99.6
-5.4	99.6
-5.2	99.6
-5.0	99.6
-4.8	99.7
-4.6	99.7
-4.4	99.8
-4.2	99.8
-4.0	99.9
-3.8	100.0
-3.6	100.0
-3.4	100.0
-3.2	100.0
-3.0	100.0
-2.8	100.0
-2.6	100.0
-2.4	100.0
-2.2	100.0
-2.0	100.0
-1.8	100.0
-1.6	100.0
-1.4	99.9
-1.2	99.9
-1.0	99.9
-0.8	99.9
-0.6	100.0
-0.4	100.0
-0.2	100.0
0.0	100.0
0.2	100.0
0.4	100.0
0.6	100.1
0.8	100.1
1.0	100.1
1.2	100.1
1.4	100.0
1.6	100.0
1.8	100.0
2.0	100.0
2.2	100.0
2.4	100.0
2.6	100.0
2.8	100.0
3.0	99.9
3.2	99.9
3.4	99.9
3.6	99.9
3.8	99.9
4.0	99.9
4.2	99.9
4.4	99.9
4.6	99.9
4.8	99.9
5.0	99.9
5.2	99.9
5.4	99.9
5.6	99.9
5.8	99.8
6.0	99.8
6.2	99.8
6.4	99.8
6.6	99.8
6.8	99.8
7.0	99.8
7.2	99.8
7.4	99.7
7.6	99.7
7.8	99.6
8.0	99.5
8.2	99.5
8.4	99.4
8.6	99.4
8.8	99.3
9.0	99.3
9.2	99.3
9.4	99.3
9.6	99.2
9.8	99.2
10.0	99.2
10.2	99.2
10.4	99.1
10.6	99.1
10.8	99.0
11.0	99.0
11.2	98.9
11.4	98.8
11.6	98.8
11.8	98.7
12.0	98.7
12.2	98.6
12.4	98.5
12.6	98.4
12.8	98.4
13.0	98.3
13.2	98.2
13.4	98.0
13.6	97.8
13.8	97.7
14.0	97.6
14.2	97.5
14.4	97.4
14.6	97.2
14.8	97.1
15.0	97.0
15.2	96.9
15.4	96.8
15.6	96.6
15.8	96.4
16.0	96.1
16.2	95.9
16.4	95.7
16.6	95.6
16.8	95.4
17.0	95.2
17.2	95.0
17.4	94.8
17.6	94.6
17.8	94.3
18.0	94.0
18.2	93.7
18.4	93.5
18.6	93.2
18.8	92.9
19.0	92.6
19.2	92.3
19.4	92.0
19.6	91.7
19.8	91.4
20.0	91.0
20.2	90.6
20.4	90.3
20.6	89.9
20.8	89.5
21.0	89.1
21.2	88.7
21.4	88.2
21.6	87.6
21.8	87.1
22.0	86.6
22.2	86.1
22.4	85.6
22.6	85.1
22.8	84.5
23.0	84.0
23.2	83.4
23.4	82.7
23.6	82.0
23.8	81.3
24.0	80.5
24.2	79.8
24.4	79.1
24.6	78.4
24.8	77.6
25.0	76.9
25.2	76.1
25.4	75.4
25.6	74.6
25.8	73.7
26.0	72.9
26.2	72.0
26.4	71.2
26.6	70.3
26.8	69.4
27.0	68.5
27.2	67.6
27.4	66.7
27.6	65.8
27.8	64.8
28.0	63.9
28.2	62.9
28.4	61.8
28.6	60.8
28.8	59.8
29.0	58.7
29.2	57.7
29.4	56.7
29.6	55.6
29.8	54.5
30.0	53.5
30.2	52.4
30.4	51.4
30.6	50.4
30.8	49.3
31.0	48.3
31.2	47.2
31.4	46.1
31.6	45.0
31.8	44.0
32.0	43.0
32.2	42.0
32.4	41.0
32.6	39.9
32.8	38.9
33.0	37.9
33.2	37.0
33.4	36.0
33.6	35.0
33.8	34.0
34.0	33.1
34.2	32.1
34.4	31.2
34.6	30.2
34.8	29.3
35.0	28.4
35.2	27.6
35.4	26.7
35.6	25.9
35.8	25.1
36.0	24.3
36.2	23.6
36.4	22.8
36.6	22.1
36.8	21.4
37.0	20.7
37.2	20.0
37.4	19.3
37.6	18.7
37.8	18.1
38.0	17.5
38.2	16.9
38.4	16.3
38.6	15.7
38.8	15.1
39.0	14.5
39.2	14.0
39.4	13.5
39.6	13.0
39.8	12.5
40.0	12.0
40.2	11.5
40.4	11.1
40.6	10.6
40.8	10.2
41.0	9.8
41.2	9.4
41.4	9.0
41.6	8.7
41.8	8.3
42.0	8.0
42.2	7.6
42.4	7.3
42.6	7.0
42.8	6.8
43.0	6.5
43.2	6.2
43.4	6.0
43.6	5.7
43.8	5.5
44.0	5.3
44.2	5.1
44.4	4.9
44.6	4.7
44.8	4.5
45.0	4.3
45.2	4.1
45.4	3.9
45.6	3.7
45.8	3.6
46.0	3.4
46.2	3.2
46.4	3.1
46.6	3.0
46.8	2.8
47.0	2.7
47.2	2.6
47.4	2.5
47.6	2.4
47.8	2.3
48.0	2.2
48.2	2.1
48.4	2.0
48.6	1.9
48.8	1.8
49.0	1.7
49.2	1.7
49.4	1.6
49.6	1.5
49.8	1.5
50.0	1.4
50.2	1.3
50.4	1.3
50.6	1.2
50.8	1.2
51.0	1.1
51.2	1.1
51.4	1.1
51.6	1.0
51.8	1.0
52.0	0.9
52.2	0.9
52.4	0.9
52.6	0.8
52.8	0.8
53.0	0.8
53.2	0.7
53.4	0.7
53.6	0.7
53.8	0.7
54.0	0.7
54.2	0.6
54.4	0.6
54.6	0.6
54.8	0.6
55.0	0.6
55.2	0.6
55.4	0.6
55.6	0.6
55.8	0.6
56.0	0.6
56.2	0.6
56.4	0.5
56.6	0.5
56.8	0.5
57.0	0.5
57.2	0.5
57.4	0.5
57.6	0.5
57.8	0.5
58.0	0.5
58.2	0.5
58.4	0.5
58.6	0.4
58.8	0.4
59.0	0.4
59.2	0.4
59.4	0.4
59.6	0.4
59.8	0.4
60.0	0.4
60.2	0.4
