Axis	Dose
-64.6	19.4
-64.4	21.7
-64.2	21.1
-64.0	21.7
-63.8	22.7
-63.6	23.3
-63.4	23.8
-63.2	24.2
-63.0	24.6
-62.8	24.8
-62.6	25.1
-62.4	25.3
-62.2	25.5
-62.0	25.6
-61.8	25.8
-61.6	25.8
-61.4	25.6
-61.2	25.6
-61.0	25.7
-60.8	26.1
-60.6	26.5
-60.4	26.7
-60.2	26.8
-60.0	26.9
-59.8	27.0
-59.6	27.1
-59.4	27.2
-59.2	27.4
-59.0	27.7
-58.8	27.8
-58.6	27.9
-58.4	28.2
-58.2	28.3
-58.0	28.3
-57.8	28.3
-57.6	28.4
-57.4	28.7
-57.2	28.8
-57.0	29.0
-56.8	29.2
-56.6	29.4
-56.4	29.7
-56.2	29.8
-56.0	30.0
-55.8	30.1
-55.6	30.4
-55.4	30.6
-55.2	30.8
-55.0	31.1
-54.8	31.3
-54.6	31.5
-54.4	31.7
-54.2	31.9
-54.0	32.1
-53.8	32.3
-53.6	32.5
-53.4	32.7
-53.2	32.9
-53.0	33.1
-52.8	33.4
-52.6	33.6
-52.4	33.8
-52.2	34.1
-52.0	34.3
-51.8	34.5
-51.6	34.8
-51.4	35.0
-51.2	35.3
-51.0	35.5
-50.8	35.7
-50.6	36.0
-50.4	36.3
-50.2	36.5
-50.0	36.8
-49.8	37.0
-49.6	37.3
-49.4	37.6
-49.2	37.9
-49.0	38.1
-48.8	38.4
-48.6	38.7
-48.4	39.0
-48.2	39.3
-48.0	39.5
-47.8	39.8
-47.6	40.1
-47.4	40.3
-47.2	40.6
-47.0	40.8
-46.8	41.1
-46.6	41.3
-46.4	41.5
-46.2	41.8
-46.0	42.0
-45.8	42.3
-45.6	42.5
-45.4	42.8
-45.2	43.0
-45.0	43.2
-44.8	43.4
-44.6	43.7
-44.4	43.9
-44.2	44.1
-44.0	44.3
-43.8	44.5
-43.6	44.8
-43.4	45.0
-43.2	45.2
-43.0	45.4
-42.8	45.6
-42.6	45.9
-42.4	46.1
-42.2	46.3
-42.0	46.5
-41.8	46.8
-41.6	47.0
-41.4	47.2
-41.2	47.4
-41.0	47.7
-40.8	47.9
-40.6	48.2
-40.4	48.5
-40.2	48.7
-40.0	49.0
-39.8	49.3
-39.6	49.5
-39.4	49.8
-39.2	50.1
-39.0	50.4
-38.8	50.7
-38.6	51.0
-38.4	51.3
-38.2	51.6
-38.0	51.9
-37.8	52.3
-37.6	52.6
-37.4	53.0
-37.2	53.4
-37.0	53.7
-36.8	54.1
-36.6	54.5
-36.4	54.9
-36.2	55.4
-36.0	55.8
-35.8	56.2
-35.6	56.6
-35.4	57.1
-35.2	57.6
-35.0	58.0
-34.8	58.5
-34.6	59.0
-34.4	59.5
-34.2	60.1
-34.0	60.6
-33.8	61.1
-33.6	61.6
-33.4	62.2
-33.2	62.7
-33.0	63.2
-32.8	63.8
-32.6	64.3
-32.4	64.9
-32.2	65.4
-32.0	66.0
-31.8	66.5
-31.6	67.1
-31.4	67.6
-31.2	68.2
-31.0	68.7
-30.8	69.2
-30.6	69.8
-30.4	70.3
-30.2	70.8
-30.0	71.4
-29.8	71.9
-29.6	72.4
-29.4	73.0
-29.2	73.5
-29.0	74.0
-28.8	74.5
-28.6	74.9
-28.4	75.4
-28.2	75.9
-28.0	76.3
-27.8	76.8
-27.6	77.2
-27.4	77.7
-27.2	78.1
-27.0	78.5
-26.8	78.9
-26.6	79.4
-26.4	79.8
-26.2	80.2
-26.0	80.5
-25.8	80.9
-25.6	81.3
-25.4	81.7
-25.2	82.0
-25.0	82.3
-24.8	82.7
-24.6	83.0
-24.4	83.3
-24.2	83.6
-24.0	83.9
-23.8	84.2
-23.6	84.5
-23.4	84.8
-23.2	85.1
-23.0	85.4
-22.8	85.7
-22.6	85.9
-22.4	86.2
-22.2	86.4
-22.0	86.7
-21.8	86.9
-21.6	87.2
-21.4	87.4
-21.2	87.7
-21.0	87.9
-20.8	88.2
