Axis	Dose
-62.5	0.8
-62.3	0.8
-62.1	0.7
-61.9	0.7
-61.7	0.7
-61.5	0.7
-61.3	0.7
-61.1	0.7
-60.9	0.6
-60.7	0.6
-60.5	0.7
-60.3	0.7
-60.1	0.7
-59.9	0.7
-59.7	0.7
-59.5	0.6
-59.3	0.6
-59.1	0.6
-58.9	0.6
-58.7	0.6
-58.5	0.6
-58.3	0.6
-58.1	0.6
-57.9	0.6
-57.7	0.7
-57.5	0.7
-57.3	0.7
-57.1	0.7
-56.9	0.7
-56.7	0.7
-56.5	0.7
-56.3	0.8
-56.1	0.8
-55.9	0.8
-55.7	0.8
-55.5	0.8
-55.3	0.7
-55.1	0.7
-54.9	0.7
-54.7	0.7
-54.5	0.7
-54.3	0.7
-54.1	0.7
-53.9	0.7
-53.7	0.7
-53.5	0.7
-53.3	0.7
-53.1	0.8
-52.9	0.8
-52.7	0.8
-52.5	0.9
-52.3	0.9
-52.1	0.9
-51.9	1.0
-51.7	1.0
-51.5	1.1
-51.3	1.2
-51.1	1.2
-50.9	1.3
-50.7	1.4
-50.5	1.4
-50.3	1.5
-50.1	1.6
-49.9	1.6
-49.7	1.6
-49.5	1.6
-49.3	1.6
-49.1	1.7
-48.9	1.7
-48.7	1.8
-48.5	1.8
-48.3	1.9
-48.1	1.9
-47.9	2.0
-47.7	2.0
-47.5	2.0
-47.3	2.1
-47.1	2.2
-46.9	2.3
-46.7	2.4
-46.5	2.6
-46.3	2.7
-46.1	2.8
-45.9	2.9
-45.7	3.1
-45.5	3.2
-45.3	3.3
-45.1	3.5
-44.9	3.6
-44.7	3.9
-44.5	4.1
-44.3	4.3
-44.1	4.5
-43.9	4.8
-43.7	5.0
-43.5	5.3
-43.3	5.6
-43.1	5.9
-42.9	6.1
-42.7	6.4
-42.5	6.7
-42.3	7.0
-42.1	7.4
-41.9	7.7
-41.7	8.0
-41.5	8.4
-41.3	8.7
-41.1	9.1
-40.9	9.4
-40.7	9.8
-40.5	10.2
-40.3	10.7
-40.1	11.2
-39.9	11.6
-39.7	12.1
-39.5	12.6
-39.3	13.2
-39.1	13.8
-38.9	14.4
-38.7	15.0
-38.5	15.6
-38.3	16.1
-38.1	16.6
-37.9	17.2
-37.7	17.7
-37.5	18.2
-37.3	18.8
-37.1	19.5
-36.9	20.2
-36.7	21.0
-36.5	21.8
-36.3	22.7
-36.1	23.5
-35.9	24.3
-35.7	25.1
-35.5	25.9
-35.3	26.7
-35.1	27.5
-34.9	28.3
-34.7	29.2
-34.5	30.0
-34.3	30.9
-34.1	31.8
-33.9	32.7
-33.7	33.5
-33.5	34.5
-33.3	35.6
-33.1	36.7
-32.9	37.7
-32.7	38.8
-32.5	39.8
-32.3	40.8
-32.1	41.8
-31.9	42.8
-31.7	43.8
-31.5	44.8
-31.3	45.9
-31.1	47.0
-30.9	48.2
-30.7	49.3
-30.5	50.3
-30.3	51.3
-30.1	52.3
-29.9	53.3
-29.7	54.3
-29.5	55.3
-29.3	56.3
-29.1	57.4
-28.9	58.4
-28.7	59.4
-28.5	60.4
-28.3	61.3
-28.1	62.1
-27.9	62.9
-27.7	63.7
-27.5	64.6
-27.3	65.5
-27.1	66.4
-26.9	67.3
-26.7	68.3
-26.5	69.2
-26.3	70.2
-26.1	71.1
-25.9	71.9
-25.7	72.7
-25.5	73.5
-25.3	74.4
-25.1	75.2
-24.9	76.1
-24.7	76.9
-24.5	77.7
-24.3	78.3
-24.1	78.9
-23.9	79.4
-23.7	80.0
-23.5	80.7
-23.3	81.4
-23.1	82.2
-22.9	83.0
-22.7	83.7
-22.5	84.4
-22.3	85.0
-22.1	85.6
-21.9	86.1
-21.7	86.6
-21.5	86.9
-21.3	87.2
-21.1	87.6
-20.9	88.1
-20.7	88.7
-20.5	89.4
-20.3	90.1
-20.1	90.7
-19.9	91.2
-19.7	91.5
-19.5	91.6
-19.3	91.7
-19.1	91.8
-18.9	92.0
-18.7	92.2
-18.5	92.4
-18.3	92.6
-18.1	92.9
-17.9	93.3
-17.7	93.7
-17.5	94.1
-17.3	94.5
-17.1	94.8
-16.9	95.0
-16.7	95.2
-16.5	95.5
-16.3	95.7
-16.1	96.0
-15.9	96.3
-15.7	96.5
-15.5	96.6
-15.3	96.8
-15.1	96.9
-14.9	97.2
-14.7	97.4
-14.5	97.6
-14.3	97.7
-14.1	97.7
-13.9	97.7
-13.7	97.5
-13.5	97.4
-13.3	97.4
-13.1	97.5
-12.9	97.7
-12.7	98.0
-12.5	98.3
-12.3	98.5
-12.1	98.8
-11.9	98.9
-11.7	99.0
-11.5	98.9
-11.3	98.9
-11.1	98.9
-10.9	98.9
-10.7	99.1
-10.5	99.3
-10.3	99.5
-10.1	99.6
-9.9	99.7
-9.7	99.7
-9.5	99.7
-9.3	99.7
-9.1	99.5
-8.9	99.4
-8.7	99.4
-8.5	99.3
-8.3	99.3
-8.1	99.4
-7.9	99.5
-7.7	99.6
-7.5	99.7
-7.3	99.8
-7.1	99.8
-6.9	100.0
-6.7	100.0
-6.5	100.1
-6.3	100.2
-6.1	100.1
-5.9	100.0
-5.7	99.9
-5.5	99.8
-5.3	99.9
-5.1	100.0
-4.9	100.1
-4.7	100.2
-4.5	100.2
-4.3	100.2
-4.1	100.2
-3.9	100.1
-3.7	100.0
-3.5	99.9
-3.3	99.8
-3.1	99.7
-2.9	99.6
-2.7	99.6
-2.5	99.6
-2.3	99.8
-2.1	99.9
-1.9	100.0
-1.7	100.2
-1.5	100.3
-1.3	100.3
-1.1	100.3
-0.9	100.4
-0.7	100.4
-0.5	100.3
-0.3	100.2
-0.1	100.1
0.1	99.9
0.3	99.8
0.5	99.8
0.7	99.9
0.9	99.9
1.1	100.0
1.3	100.0
1.5	99.9
1.7	99.9
1.9	99.8
2.1	99.8
2.3	99.8
2.5	99.9
2.7	99.9
2.9	99.9
3.1	99.9
3.3	99.9
3.5	99.9
3.7	99.9
3.9	100.0
4.1	100.1
4.3	100.1
4.5	100.1
4.7	100.1
4.9	100.1
5.1	99.9
5.3	99.7
5.5	99.4
5.7	99.2
5.9	98.9
6.1	98.8
6.3	98.9
6.5	99.0
6.7	99.2
6.9	99.3
7.1	99.4
7.3	99.4
7.5	99.3
7.7	99.1
7.9	99.0
8.1	99.0
8.3	99.0
8.5	99.0
8.7	99.1
8.9	99.3
9.1	99.4
9.3	99.5
9.5	99.5
9.7	99.4
9.9	99.2
10.1	98.9
10.3	98.6
10.5	98.4
10.7	98.3
10.9	98.5
11.1	98.7
11.3	98.9
11.5	99.1
11.7	99.1
11.9	99.0
12.1	98.9
12.3	98.6
12.5	98.3
12.7	98.2
12.9	98.1
13.1	98.0
13.3	97.9
13.5	97.9
13.7	97.9
13.9	97.9
14.1	97.8
