Axis	Dose
-64.2	1.4
-64.0	1.4
-63.8	1.4
-63.6	1.5
-63.4	1.5
-63.2	1.5
-63.0	1.5
-62.8	1.6
-62.6	1.6
-62.4	1.6
-62.2	1.6
-62.0	1.7
-61.8	1.7
-61.6	1.8
-61.4	1.8
-61.2	1.8
-61.0	1.8
-60.8	1.9
-60.6	1.9
-60.4	2.0
-60.2	2.0
-60.0	2.0
-59.8	2.1
-59.6	2.1
-59.4	2.1
-59.2	2.2
-59.0	2.2
-58.8	2.3
-58.6	2.3
-58.4	2.3
-58.2	2.4
-58.0	2.5
-57.8	2.5
-57.6	2.5
-57.4	2.6
-57.2	2.6
-57.0	2.7
-56.8	2.7
-56.6	2.8
-56.4	2.8
-56.2	2.9
-56.0	2.9
-55.8	3.0
-55.6	3.1
-55.4	3.1
-55.2	3.2
-55.0	3.3
-54.8	3.4
-54.6	3.5
-54.4	3.6
-54.2	3.7
-54.0	3.9
-53.8	4.0
-53.6	4.1
-53.4	4.2
-53.2	4.4
-53.0	4.5
-52.8	4.6
-52.6	4.7
-52.4	4.8
-52.2	4.9
-52.0	5.0
-51.8	5.1
-51.6	5.3
-51.4	5.4
-51.2	5.6
-51.0	5.7
-50.8	5.9
-50.6	6.1
-50.4	6.3
-50.2	6.5
-50.0	6.7
-49.8	6.9
-49.6	7.1
-49.4	7.4
-49.2	7.6
-49.0	7.9
-48.8	8.1
-48.6	8.4
-48.4	8.6
-48.2	8.8
-48.0	9.1
-47.8	9.3
-47.6	9.5
-47.4	9.8
-47.2	10.0
-47.0	10.3
-46.8	10.6
-46.6	10.8
-46.4	11.1
-46.2	11.4
-46.0	11.7
-45.8	12.0
-45.6	12.4
-45.4	12.7
-45.2	13.0
-45.0	13.4
-44.8	13.7
-44.6	14.1
-44.4	14.5
-44.2	14.9
-44.0	15.2
-43.8	15.6
-43.6	16.1
-43.4	16.4
-43.2	16.8
-43.0	17.2
-42.8	17.6
-42.6	18.0
-42.4	18.4
-42.2	18.8
-42.0	19.2
-41.8	19.6
-41.6	20.0
-41.4	20.5
-41.2	20.9
-41.0	21.4
-40.8	21.9
-40.6	22.3
-40.4	22.8
-40.2	23.2
-40.0	23.7
-39.8	24.2
-39.6	24.7
-39.4	25.1
-39.2	25.7
-39.0	26.2
-38.8	26.7
-38.6	27.2
-38.4	27.7
-38.2	28.2
-38.0	28.7
-37.8	29.3
-37.6	29.9
-37.4	30.4
-37.2	31.0
-37.0	31.5
-36.8	32.1
-36.6	32.8
-36.4	33.4
-36.2	34.0
-36.0	34.6
-35.8	35.2
-35.6	35.8
-35.4	36.4
-35.2	37.0
-35.0	37.6
-34.8	38.2
-34.6	38.9
-34.4	39.6
-34.2	40.2
-34.0	40.8
-33.8	41.5
-33.6	42.1
-33.4	42.8
-33.2	43.5
-33.0	44.2
-32.8	44.8
-32.6	45.5
-32.4	46.2
-32.2	46.9
-32.0	47.6
-31.8	48.3
-31.6	48.9
-31.4	49.6
-31.2	50.3
-31.0	51.0
-30.8	51.8
-30.6	52.5
-30.4	53.2
-30.2	53.9
-30.0	54.6
-29.8	55.4
-29.6	56.1
-29.4	56.8
-29.2	57.5
-29.0	58.2
-28.8	58.9
-28.6	59.6
-28.4	60.2
-28.2	60.8
-28.0	61.3
-27.8	61.9
-27.6	62.4
-27.4	63.0
-27.2	63.5
-27.0	64.1
-26.8	64.8
-26.6	65.4
-26.4	66.1
-26.2	66.7
-26.0	67.3
-25.8	67.8
-25.6	68.3
-25.4	68.8
-25.2	69.4
-25.0	69.9
-24.8	70.5
-24.6	71.1
