Axis	Dose
-150.0	0.6
-149.5	0.3
-148.5	0.4
-147.8	0.3
-147.2	0.2
-146.6	0.5
-146.1	0.4
-145.6	0.2
-145.1	0.5
-144.7	0.4
-144.2	0.2
-143.8	0.5
-143.4	0.2
-142.9	0.4
-142.4	0.5
-141.8	0.3
-141.3	0.4
-140.8	0.4
-140.3	0.4
-139.8	0.3
-139.2	0.5
-138.7	0.4
-138.2	0.4
-137.7	0.3
-137.2	0.4
-136.7	0.3
-136.2	0.4
-135.7	0.4
-135.2	0.3
-134.7	0.4
-134.2	0.5
-133.7	0.3
-133.2	0.2
-132.7	0.4
-132.2	0.3
-131.7	0.3
-131.2	0.5
-130.7	0.3
-130.2	0.4
-129.7	0.5
-129.2	0.4
-128.7	0.3
-128.2	0.6
-127.7	0.3
-127.2	0.4
-126.7	0.4
-126.2	0.5
-125.6	0.3
-125.1	0.5
-124.6	0.2
-124.1	0.6
-123.6	0.4
-123.1	0.5
-122.6	0.3
-122.1	0.4
-121.6	0.5
-121.1	0.6
-120.6	0.4
-120.1	0.4
-119.6	0.5
-119.1	0.4
-118.6	0.4
-118.1	0.5
-117.6	0.5
-117.1	0.4
-116.6	0.5
-116.1	0.5
-115.6	0.4
-115.1	0.6
-114.5	0.3
-114.0	0.5
-113.5	0.5
-113.0	0.4
-112.5	0.5
-112.0	0.4
-111.5	0.6
-111.0	0.5
-110.5	0.5
-110.0	0.5
-109.5	0.5
-109.0	0.4
-108.5	0.5
-108.0	0.5
-107.5	0.5
-107.0	0.5
-106.5	0.6
-106.0	0.5
-105.5	0.5
-105.0	0.5
-104.5	0.6
-104.0	0.6
-103.4	0.5
-102.9	0.7
-102.4	0.4
-101.9	0.6
-101.4	0.5
-100.9	0.6
-100.4	0.7
-99.9	0.5
-99.4	0.6
-98.9	0.5
-98.4	0.7
-97.9	0.5
-97.3	0.5
-96.8	0.6
-96.4	0.6
-95.8	0.6
-95.3	0.5
-94.8	0.6
-94.3	0.7
-93.8	0.7
-93.3	0.5
-92.8	0.7
-92.3	0.6
-91.8	0.7
-91.3	0.6
-90.8	0.6
-90.3	0.6
-89.8	0.7
-89.3	0.6
-88.8	0.8
-88.3	0.7
-87.8	0.6
-87.3	0.8
-86.8	0.6
-86.3	0.6
-85.8	0.8
-85.3	0.8
-84.8	0.6
-84.3	0.7
-83.8	0.8
-83.3	0.7
-82.8	0.7
-82.3	0.9
-81.8	0.8
-81.2	0.7
-80.7	0.8
-80.2	0.8
-79.7	0.8
-79.2	0.8
-78.7	0.8
-78.2	0.8
-77.7	1.0
-77.2	0.7
-76.7	0.9
-76.2	0.9
-75.7	0.7
-75.2	0.9
-74.7	0.8
-74.2	1.0
-73.7	0.9
-73.1	0.7
-72.6	0.9
-72.1	0.9
-71.6	1.0
-71.1	0.9
-70.6	0.9
-70.1	0.9
-69.6	0.9
-69.1	1.0
-68.6	1.0
-68.1	0.9
-67.6	1.0
-67.1	1.1
-66.6	0.9
-66.1	0.9
-65.6	1.2
-65.1	1.0
-64.5	1.1
-64.0	1.1
-63.5	1.2
-63.0	1.1
-62.5	1.0
-62.0	1.2
-61.5	1.1
-61.0	1.1
-60.5	1.4
