Axis	Dose
-63.6	1.1
-63.4	1.1
-63.2	1.1
-63.0	1.2
-62.8	1.2
-62.6	1.2
-62.4	1.2
-62.2	1.2
-62.0	1.3
-61.8	1.3
-61.6	1.3
-61.4	1.3
-61.2	1.4
-61.0	1.4
-60.8	1.4
-60.6	1.5
-60.4	1.5
-60.2	1.6
-60.0	1.6
-59.8	1.6
-59.6	1.7
-59.4	1.8
-59.2	1.8
-59.0	1.9
-58.8	1.9
-58.6	2.0
-58.4	2.1
-58.2	2.2
-58.0	2.2
-57.8	2.3
-57.6	2.3
-57.4	2.4
-57.2	2.5
-57.0	2.5
-56.8	2.6
-56.6	2.7
-56.4	2.7
-56.2	2.8
-56.0	2.9
-55.8	3.0
-55.6	3.1
-55.4	3.2
-55.2	3.3
-55.0	3.4
-54.8	3.5
-54.6	3.6
-54.4	3.7
-54.2	3.8
-54.0	3.9
-53.8	4.0
-53.6	4.2
-53.4	4.3
-53.2	4.4
-53.0	4.5
-52.8	4.7
-52.6	4.8
-52.4	4.9
-52.2	5.1
-52.0	5.2
-51.8	5.4
-51.6	5.5
-51.4	5.7
-51.2	5.9
-51.0	6.0
-50.8	6.2
-50.6	6.4
-50.4	6.6
-50.2	6.7
-50.0	6.9
-49.8	7.1
-49.6	7.3
-49.4	7.5
-49.2	7.7
-49.0	8.0
-48.8	8.2
-48.6	8.4
-48.4	8.6
-48.2	8.9
-48.0	9.1
-47.8	9.4
-47.6	9.6
-47.4	9.9
-47.2	10.2
-47.0	10.4
-46.8	10.7
-46.6	11.0
-46.4	11.3
-46.2	11.6
-46.0	11.9
-45.8	12.2
-45.6	12.5
-45.4	12.8
-45.2	13.1
-45.0	13.4
-44.8	13.8
-44.6	14.1
-44.4	14.5
-44.2	14.8
-44.0	15.2
-43.8	15.6
-43.6	15.9
-43.4	16.3
-43.2	16.7
-43.0	17.1
-42.8	17.5
-42.6	17.9
-42.4	18.4
-42.2	18.8
-42.0	19.2
-41.8	19.7
-41.6	20.1
-41.4	20.6
-41.2	21.0
-41.0	21.5
-40.8	21.9
-40.6	22.4
-40.4	22.9
-40.2	23.4
-40.0	23.9
-39.8	24.3
-39.6	24.8
-39.4	25.3
-39.2	25.8
-39.0	26.3
-38.8	26.8
-38.6	27.3
-38.4	27.8
-38.2	28.3
-38.0	28.8
-37.8	29.4
-37.6	29.9
-37.4	30.5
-37.2	31.1
-37.0	31.6
-36.8	32.2
-36.6	32.8
-36.4	33.4
-36.2	34.0
-36.0	34.7
-35.8	35.3
-35.6	35.9
-35.4	36.5
-35.2	37.2
-35.0	37.8
-34.8	38.4
-34.6	39.1
-34.4	39.8
-34.2	40.5
-34.0	41.2
-33.8	41.8
-33.6	42.5
-33.4	43.2
-33.2	43.9
-33.0	44.6
-32.8	45.4
-32.6	46.1
-32.4	46.8
-32.2	47.5
-32.0	48.3
-31.8	49.0
-31.6	49.7
-31.4	50.4
-31.2	51.1
-31.0	51.8
-30.8	52.5
-30.6	53.3
-30.4	53.9
-30.2	54.6
-30.0	55.3
-29.8	56.0
-29.6	56.6
-29.4	57.3
-29.2	58.0
-29.0	58.6
-28.8	59.3
-28.6	60.0
-28.4	60.6
-28.2	61.2
-28.0	61.9
-27.8	62.5
-27.6	63.1
-27.4	63.8
-27.2	64.4
-27.0	65.0
-26.8	65.6
-26.6	66.2
-26.4	66.8
-26.2	67.5
-26.0	68.1
-25.8	68.6
-25.6	69.1
-25.4	69.6
-25.2	70.1
-25.0	70.7
-24.8	71.2
-24.6	71.9
-24.4	72.5
-24.2	73.1
-24.0	73.7
-23.8	74.3
-23.6	74.9
-23.4	75.4
-23.2	75.9
-23.0	76.4
-22.8	76.9
-22.6	77.4
-22.4	77.9
-22.2	78.4
-22.0	79.0
-21.8	79.5
-21.6	80.0
-21.4	80.4
-21.2	80.8
-21.0	81.2
-20.8	81.6
-20.6	82.0
-20.4	82.5
-20.2	82.9
-20.0	83.3
-19.8	83.8
-19.6	84.2
-19.4	84.6
-19.2	85.0
-19.0	85.4
-18.8	85.7
-18.6	86.1
-18.4	86.4
-18.2	86.8
-18.0	87.1
-17.8	87.5
-17.6	87.9
-17.4	88.3
-17.2	88.6
-17.0	89.0
-16.8	89.3
-16.6	89.6
-16.4	89.9
-16.2	90.2
-16.0	90.5
-15.8	90.8
-15.6	91.1
-15.4	91.3
