Axis	Dose
-62.7	1.2
-62.5	1.2
-62.3	1.2
-62.1	1.2
-61.9	1.2
-61.7	1.3
-61.5	1.3
-61.3	1.3
-61.1	1.4
-60.9	1.4
-60.7	1.4
-60.5	1.5
-60.3	1.5
-60.1	1.5
-59.9	1.6
-59.7	1.6
-59.5	1.7
-59.3	1.7
-59.1	1.8
-58.9	1.8
-58.7	1.9
-58.5	1.9
-58.3	2.0
-58.1	2.0
-57.9	2.1
-57.7	2.1
-57.5	2.2
-57.3	2.2
-57.1	2.3
-56.9	2.3
-56.7	2.4
-56.5	2.5
-56.3	2.5
-56.1	2.6
-55.9	2.7
-55.7	2.7
-55.5	2.8
-55.3	2.9
-55.1	3.0
-54.9	3.1
-54.7	3.2
-54.5	3.3
-54.3	3.4
-54.1	3.5
-53.9	3.6
-53.7	3.6
-53.5	3.7
-53.3	3.9
-53.1	4.0
-52.9	4.1
-52.7	4.2
-52.5	4.3
-52.3	4.4
-52.1	4.5
-51.9	4.6
-51.7	4.8
-51.5	4.9
-51.3	5.0
-51.1	5.2
-50.9	5.3
-50.7	5.5
-50.5	5.7
-50.3	5.8
-50.1	6.0
-49.9	6.2
-49.7	6.3
-49.5	6.5
-49.3	6.7
-49.1	6.9
-48.9	7.1
-48.7	7.3
-48.5	7.5
-48.3	7.7
-48.1	7.9
-47.9	8.1
-47.7	8.3
-47.5	8.5
-47.3	8.8
-47.1	9.0
-46.9	9.3
-46.7	9.5
-46.5	9.8
-46.3	10.1
-46.1	10.3
-45.9	10.6
-45.7	10.9
-45.5	11.2
-45.3	11.5
-45.1	11.7
-44.9	12.0
-44.7	12.3
-44.5	12.6
-44.3	12.9
-44.1	13.3
-43.9	13.6
-43.7	13.9
-43.5	14.3
-43.3	14.6
-43.1	15.0
-42.9	15.4
-42.7	15.8
-42.5	16.2
-42.3	16.6
-42.1	17.0
-41.9	17.4
-41.7	17.8
-41.5	18.2
-41.3	18.7
-41.1	19.1
-40.9	19.6
-40.7	20.0
-40.5	20.5
-40.3	21.0
-40.1	21.5
-39.9	21.9
-39.7	22.4
-39.5	22.9
-39.3	23.5
-39.1	24.0
-38.9	24.5
-38.7	25.1
-38.5	25.6
-38.3	26.2
-38.1	26.8
-37.9	27.4
-37.7	28.0
-37.5	28.6
-37.3	29.2
-37.1	29.8
-36.9	30.5
-36.7	31.1
-36.5	31.7
-36.3	32.3
-36.1	33.0
-35.9	33.7
-35.7	34.3
-35.5	35.0
-35.3	35.7
-35.1	36.4
-34.9	37.1
-34.7	37.8
-34.5	38.5
-34.3	39.2
-34.1	39.9
-33.9	40.7
-33.7	41.4
-33.5	42.2
-33.3	43.0
-33.1	43.7
-32.9	44.5
-32.7	45.3
-32.5	46.0
-32.3	46.8
-32.1	47.5
-31.9	48.3
-31.7	49.1
-31.5	49.9
-31.3	50.6
-31.1	51.4
-30.9	52.2
-30.7	52.9
-30.5	53.7
-30.3	54.5
-30.1	55.2
-29.9	56.0
-29.7	56.8
-29.5	57.5
-29.3	58.3
-29.1	59.1
-28.9	59.8
-28.7	60.5
-28.5	61.3
-28.3	62.0
