Axis	Dose
-118.8	0.3
-118.2	0.6
-117.3	0.5
-116.6	0.7
-116.0	0.6
-115.4	0.5
-114.8	0.7
-114.3	0.6
-113.8	0.5
-113.4	0.7
-112.9	0.6
-112.5	0.6
-112.0	0.6
-111.5	0.6
-111.0	0.7
-110.5	0.6
-110.0	0.6
-109.4	0.6
-108.9	0.7
-108.4	0.7
-107.9	0.6
-107.4	0.7
-106.9	0.6
-106.4	0.7
-105.9	0.6
-105.4	0.7
-104.9	0.6
-104.4	0.7
-103.8	0.7
-103.3	0.6
-102.8	0.8
-102.3	0.7
-101.8	0.7
-101.3	0.7
-100.8	0.6
-100.3	0.8
-99.8	0.7
-99.3	0.6
-98.7	0.9
-98.2	0.6
-97.7	0.7
-97.2	0.8
-96.7	0.6
-96.2	0.8
-95.7	0.5
-95.2	0.7
-94.7	0.8
-94.1	0.8
-93.6	0.9
-93.1	0.6
-92.6	0.8
-92.1	0.8
-91.6	0.8
-91.1	0.8
-90.6	0.7
-90.1	0.9
-89.6	0.7
-89.1	0.9
-88.6	0.7
-88.1	0.8
-87.6	0.9
-87.0	0.9
-86.5	0.8
-86.0	0.8
-85.5	0.9
-85.0	0.9
-84.5	0.8
-84.0	1.0
-83.5	0.8
-83.0	1.0
-82.5	0.7
-82.0	1.0
-81.5	0.9
-81.0	1.0
-80.4	0.9
-79.9	0.8
-79.4	1.0
-78.9	1.1
-78.4	0.9
-77.9	1.1
-77.4	1.0
-76.9	1.0
-76.4	0.9
-75.9	1.3
-75.4	1.0
-74.8	1.0
-74.3	1.1
-73.8	1.1
-73.3	1.2
-72.8	1.1
-72.3	1.1
-71.8	1.1
-71.3	1.2
-70.8	1.2
-70.2	1.3
-69.8	1.2
-69.3	1.2
-68.7	1.3
-68.2	1.4
-67.7	1.2
-67.2	1.3
-66.7	1.4
-66.2	1.3
-65.7	1.3
-65.1	1.5
-64.6	1.3
-64.1	1.4
-63.6	1.4
-63.1	1.4
-62.6	1.5
-62.1	1.4
-61.6	1.4
-61.1	1.6
-60.6	1.7
-60.1	1.5
-59.5	1.7
-59.0	1.7
-58.5	1.6
-58.1	1.6
-57.5	1.9
-57.0	1.6
-56.5	1.8
-56.0	1.8
-55.5	1.7
-55.0	2.0
-54.5	1.8
-54.0	2.0
-53.5	2.0
-53.0	2.1
-52.4	2.0
-52.0	2.2
-51.5	2.0
-51.0	2.3
-50.4	2.0
-49.9	2.3
-49.4	2.2
-48.9	2.3
-48.4	2.4
-47.9	2.3
-47.4	2.6
-46.9	2.3
-46.4	2.7
-45.9	2.6
-45.4	2.8
-44.9	2.5
-44.4	2.8
-43.8	2.9
-43.3	2.9
-42.8	2.9
-42.4	3.0
-41.8	3.1
-41.3	3.2
-40.9	3.1
-40.3	3.4
-39.8	3.3
-39.3	3.6
-38.8	3.5
-38.3	3.7
-37.8	3.7
-37.3	3.8
-36.8	3.9
-36.3	4.0
-35.8	4.1
-35.3	4.4
-34.8	4.3
-34.3	4.5
-33.8	4.8
-33.3	4.8
-32.8	5.2
-32.3	5.3
-31.7	5.7
-31.2	6.0
-30.8	6.3
-30.5	6.7
