Axis	Dose
-137.5	0.3
-137.0	0.4
-136.2	0.4
-135.5	0.6
-134.9	0.4
-134.3	0.4
-133.7	0.5
-133.2	0.4
-132.7	0.5
-132.2	0.5
-131.8	0.5
-131.3	0.4
-130.8	0.5
-130.4	0.4
-129.9	0.5
-129.3	0.5
-128.8	0.5
-128.3	0.4
-127.8	0.5
-127.3	0.5
-126.8	0.4
-126.3	0.6
-125.7	0.4
-125.3	0.5
-124.7	0.5
-124.2	0.5
-123.7	0.6
-123.2	0.5
-122.7	0.6
-122.2	0.3
-121.7	0.6
-121.2	0.4
-120.7	0.6
-120.2	0.5
-119.7	0.6
-119.2	0.4
-118.7	0.6
-118.2	0.4
-117.7	0.5
-117.1	0.6
-116.6	0.6
-116.1	0.6
-115.6	0.4
-115.1	0.6
-114.6	0.6
-114.0	0.5
-113.5	0.6
-113.0	0.5
-112.5	0.8
-112.0	0.4
-111.5	0.6
-111.0	0.6
-110.5	0.5
-110.0	0.6
-109.5	0.6
-109.0	0.6
-108.5	0.8
-108.0	0.5
-107.5	0.7
-107.0	0.7
-106.5	0.6
-106.0	0.7
-105.5	0.5
-105.0	0.6
-104.5	0.8
-104.0	0.6
-103.5	0.7
-103.0	0.6
-102.4	0.7
-101.9	0.9
-101.4	0.5
-100.9	0.9
-100.4	0.5
-99.9	0.9
-99.4	0.5
-98.9	0.8
-98.4	0.8
-97.8	0.7
-97.3	0.8
-96.8	0.6
-96.3	0.9
-95.8	0.7
-95.3	0.9
-94.8	0.7
-94.3	0.9
-93.8	0.6
-93.3	0.9
-92.8	0.8
-92.3	0.8
-91.7	0.9
-91.2	0.8
-90.7	0.8
-90.3	0.7
-89.8	0.9
-89.2	1.0
-88.7	0.8
-88.2	0.8
-87.7	0.9
-87.2	0.9
-86.7	1.0
-86.2	0.7
-85.7	1.0
-85.2	0.9
-84.7	1.1
-84.2	0.7
-83.7	1.0
-83.2	1.1
-82.7	0.8
-82.2	1.0
-81.7	1.1
-81.2	0.9
-80.7	1.0
-80.1	1.1
-79.6	1.1
-79.1	0.9
-78.6	1.1
-78.1	1.1
-77.6	1.0
-77.1	1.2
-76.6	1.0
-76.1	1.2
-75.6	1.2
-75.1	1.0
-74.6	1.3
-74.0	1.1
-73.5	1.2
-73.0	1.2
-72.5	1.2
-72.0	1.2
-71.5	1.3
-71.0	1.1
-70.5	1.3
-70.0	1.3
-69.5	1.4
-69.0	1.3
-68.4	1.3
-67.9	1.4
-67.4	1.4
-66.9	1.3
-66.4	1.4
-65.9	1.5
-65.4	1.3
-64.9	1.5
-64.4	1.4
-63.9	1.6
-63.4	1.4
-62.9	1.6
-62.4	1.6
-61.9	1.6
-61.4	1.6
-60.9	1.6
-60.3	1.7
-59.8	1.5
-59.3	1.7
-58.8	1.8
-58.3	1.7
-57.8	1.8
-57.3	1.9
-56.8	1.7
-56.3	1.9
-55.8	1.8
-55.3	1.8
-54.8	1.9
-54.3	2.0
-53.8	1.8
-53.3	2.0
-52.7	2.0
-52.2	2.1
-51.7	2.1
-51.2	2.0
-50.7	2.0
-50.2	2.2
-49.7	2.2
-49.2	2.1
-48.7	2.2
-48.2	2.4
-47.7	2.3
-47.2	2.2
-46.7	2.4
-46.2	2.4
-45.7	2.6
-45.2	2.3
-44.7	2.6
-44.2	2.5
-43.7	2.7
-43.2	2.6
-42.7	2.7
-42.2	2.7
-41.7	2.9
-41.1	2.9
-40.6	2.7
-40.1	3.0
-39.7	3.1
-39.1	3.0
-38.6	3.3
-38.1	3.1
-37.6	3.4
-37.1	3.4
-36.6	3.5
-36.1	3.6
-35.7	3.8
-35.4	3.9
-35.0	3.9
-34.6	4.0
-34.0	4.4
-33.5	4.7
-32.9	5.0
-32.4	5.5
-31.9	6.0
-31.4	6.7
-30.9	7.4
-30.4	8.5
-29.9	9.9
-29.4	11.7
-28.9	13.4
-28.4	15.3
-27.9	17.4
-27.4	19.6
-26.9	21.6
-26.4	23.7
-25.9	25.4
-25.3	27.1
-24.9	28.5
-24.4	29.7
-23.8	30.6
-23.3	31.3
-22.8	31.9
-22.3	32.4
-21.8	32.8
-21.3	33.2
-20.8	33.5
-20.3	33.5
-19.8	33.9
-19.3	33.7
-18.8	34.1
-18.3	34.2
-17.8	34.2
-17.2	34.3
-16.6	34.4
-16.1	34.4
-15.6	34.6
-15.1	34.7
-14.6	34.6
-14.1	34.7
-13.6	34.8
-13.1	34.8
-12.6	34.6
-12.1	34.7
-11.6	34.8
-11.1	34.9
-10.6	35.0
-10.1	34.9
-9.6	34.9
-9.1	34.8
-8.5	35.0
-8.0	34.9
-7.5	34.9
-7.0	34.9
-6.5	35.1
-6.0	35.2
-5.5	35.0
-5.0	35.0
-4.5	34.9
-4.0	35.0
-3.6	35.0
-3.2	34.9
-2.7	34.9
-2.2	35.1
-1.7	35.1
-1.1	35.1
-0.6	34.9
-0.1	35.0
0.4	35.0
