Axis	Dose
-62.0	0.5
-61.8	0.5
-61.6	0.5
-61.4	0.5
-61.2	0.4
-61.0	0.4
-60.8	0.4
-60.6	0.4
-60.4	0.4
-60.2	0.4
-60.0	0.5
-59.8	0.5
-59.6	0.5
-59.4	0.5
-59.2	0.5
-59.0	0.5
-58.8	0.5
-58.6	0.5
-58.4	0.5
-58.2	0.5
-58.0	0.6
-57.8	0.6
-57.6	0.6
-57.4	0.6
-57.2	0.6
-57.0	0.6
-56.8	0.6
-56.6	0.6
-56.4	0.6
-56.2	0.6
-56.0	0.6
-55.8	0.6
-55.6	0.6
-55.4	0.6
-55.2	0.6
-55.0	0.6
-54.8	0.6
-54.6	0.6
-54.4	0.6
-54.2	0.7
-54.0	0.7
-53.8	0.7
-53.6	0.7
-53.4	0.8
-53.2	0.8
-53.0	0.8
-52.8	0.8
-52.6	0.8
-52.4	0.8
-52.2	0.9
-52.0	0.9
-51.8	0.9
-51.6	1.0
-51.4	1.0
-51.2	1.0
-51.0	1.0
-50.8	1.1
-50.6	1.1
-50.4	1.1
-50.2	1.2
-50.0	1.2
-49.8	1.3
-49.6	1.4
-49.4	1.4
-49.2	1.5
-49.0	1.6
-48.8	1.6
-48.6	1.7
-48.4	1.8
-48.2	1.9
-48.0	2.0
-47.8	2.1
-47.6	2.2
-47.4	2.3
-47.2	2.4
-47.0	2.6
-46.8	2.7
-46.6	2.8
-46.4	3.0
-46.2	3.1
-46.0	3.3
-45.8	3.4
-45.6	3.6
-45.4	3.7
-45.2	3.9
-45.0	4.1
-44.8	4.3
-44.6	4.5
-44.4	4.7
-44.2	4.9
-44.0	5.1
-43.8	5.4
-43.6	5.6
-43.4	5.9
-43.2	6.1
-43.0	6.4
-42.8	6.7
-42.6	7.0
-42.4	7.3
-42.2	7.7
-42.0	8.0
-41.8	8.4
-41.6	8.8
-41.4	9.1
-41.2	9.5
-41.0	9.9
-40.8	10.3
-40.6	10.8
-40.4	11.2
-40.2	11.7
-40.0	12.2
-39.8	12.6
-39.6	13.1
-39.4	13.6
-39.2	14.1
-39.0	14.7
-38.8	15.2
-38.6	15.8
-38.4	16.3
-38.2	16.9
-38.0	17.5
-37.8	18.1
-37.6	18.8
-37.4	19.4
-37.2	20.1
-37.0	20.8
-36.8	21.5
-36.6	22.2
-36.4	23.0
-36.2	23.8
-36.0	24.6
-35.8	25.4
-35.6	26.2
-35.4	26.9
-35.2	27.7
-35.0	28.5
-34.8	29.3
-34.6	30.0
-34.4	30.9
-34.2	31.8
-34.0	32.7
-33.8	33.6
-33.6	34.5
-33.4	35.5
-33.2	36.5
-33.0	37.4
-32.8	38.5
-32.6	39.5
-32.4	40.6
-32.2	41.7
-32.0	42.8
-31.8	43.8
-31.6	44.9
-31.4	45.9
-31.2	46.9
-31.0	47.9
-30.8	48.8
-30.6	49.8
-30.4	50.8
-30.2	51.8
-30.0	52.7
-29.8	53.7
-29.6	54.7
-29.4	55.7
-29.2	56.7
-29.0	57.6
-28.8	58.6
-28.6	59.5
-28.4	60.5
-28.2	61.5
-28.0	62.4
-27.8	63.4
-27.6	64.3
-27.4	65.2
-27.2	66.1
-27.0	66.9
-26.8	67.7
-26.6	68.5
-26.4	69.3
-26.2	70.2
-26.0	71.0
-25.8	71.8
-25.6	72.6
-25.4	73.4
-25.2	74.1
-25.0	74.8
-24.8	75.6
-24.6	76.4
-24.4	77.1
-24.2	77.7
-24.0	78.4
-23.8	79.0
-23.6	79.7
-23.4	80.4
-23.2	81.2
-23.0	81.9
-22.8	82.5
-22.6	83.1
-22.4	83.7
-22.2	84.2
-22.0	84.8
-21.8	85.4
-21.6	85.9
-21.4	86.4
-21.2	86.8
-21.0	87.2
-20.8	87.6
-20.6	88.0
-20.4	88.4
-20.2	88.8
-20.0	89.2
-19.8	89.6
-19.6	90.0
-19.4	90.4
-19.2	90.7
-19.0	91.1
-18.8	91.4
-18.6	91.7
-18.4	92.0
-18.2	92.3
-18.0	92.7
-17.8	93.0
-17.6	93.4
-17.4	93.8
-17.2	94.1
-17.0	94.4
-16.8	94.6
-16.6	94.8
-16.4	95.0
-16.2	95.2
-16.0	95.3
-15.8	95.5
-15.6	95.7
-15.4	95.8
-15.2	95.9
-15.0	96.1
-14.8	96.2
-14.6	96.3
-14.4	96.4
-14.2	96.5
-14.0	96.7
-13.8	96.8
-13.6	97.0
-13.4	97.2
-13.2	97.4
-13.0	97.6
-12.8	97.8
-12.6	97.9
-12.4	98.1
-12.2	98.2
-12.0	98.3
-11.8	98.4
-11.6	98.5
-11.4	98.5
-11.2	98.6
-11.0	98.6
-10.8	98.6
-10.6	98.6
-10.4	98.6
-10.2	98.7
-10.0	98.7
-9.8	98.8
-9.6	98.8
-9.4	99.0
-9.2	99.1
-9.0	99.1
-8.8	99.2
-8.6	99.3
-8.4	99.3
-8.2	99.4
-8.0	99.4
-7.8	99.5
-7.6	99.6
-7.4	99.7
-7.2	99.7
-7.0	99.8
-6.8	99.8
-6.6	99.8
-6.4	99.8
-6.2	99.8
-6.0	99.8
-5.8	99.7
-5.6	99.7
-5.4	99.7
-5.2	99.7
-5.0	99.8
-4.8	99.8
-4.6	99.8
-4.4	99.8
-4.2	99.8
-4.0	99.8
-3.8	99.8
-3.6	99.9
-3.4	99.9
-3.2	100.0
-3.0	100.1
-2.8	100.2
-2.6	100.2
-2.4	100.2
-2.2	100.2
-2.0	100.1
-1.8	100.0
-1.6	99.9
-1.4	99.9
-1.2	99.9
-1.0	99.9
-0.8	100.0
-0.6	100.1
-0.4	100.1
-0.2	100.1
0.0	100.0
0.2	99.9
0.4	99.8
0.6	99.8
0.8	99.8
1.0	99.9
1.2	100.0
1.4	100.1
1.6	100.2
1.8	100.3
2.0	100.2
2.2	100.2
2.4	100.1
2.6	100.0
2.8	99.9
3.0	99.9
3.2	99.8
3.4	99.8
3.6	99.8
3.8	99.9
4.0	99.9
4.2	99.8
4.4	99.8
4.6	99.7
4.8	99.6
5.0	99.6
5.2	99.6
5.4	99.6
5.6	99.7
5.8	99.7
6.0	99.7
6.2	99.6
6.4	99.5
6.6	99.5
6.8	99.5
7.0	99.5
7.2	99.5
7.4	99.5
7.6	99.5
7.8	99.5
8.0	99.4
8.2	99.4
8.4	99.3
8.6	99.2
8.8	99.2
9.0	99.1
9.2	99.2
9.4	99.2
9.6	99.2
9.8	99.2
10.0	99.1
10.2	99.1
10.4	99.0
10.6	98.9
10.8	98.8
11.0	98.7
11.2	98.7
11.4	98.7
11.6	98.7
11.8	98.7
12.0	98.6
12.2	98.5
12.4	98.3
12.6	98.2
12.8	98.1
13.0	97.9
13.2	97.8
13.4	97.7
13.6	97.6
13.8	97.6
14.0	97.5
14.2	97.4
14.4	97.3
14.6	97.1
14.8	97.0
15.0	96.8
15.2	96.7
15.4	96.5
15.6	96.4
15.8	96.2
16.0	96.0
16.2	95.8
16.4	95.6
16.6	95.3
16.8	95.1
17.0	94.9
17.2	94.6
17.4	94.4
17.6	94.2
17.8	93.9
18.0	93.6
18.2	93.3
18.4	93.0
18.6	92.6
18.8	92.2
19.0	91.9
19.2	91.5
19.4	91.1
19.6	90.8
19.8	90.5
20.0	90.1
20.2	89.8
20.4	89.4
20.6	89.0
20.8	88.5
21.0	88.1
21.2	87.7
21.4	87.2
21.6	86.7
21.8	86.2
22.0	85.6
22.2	85.0
22.4	84.4
22.6	83.8
22.8	83.2
23.0	82.6
23.2	81.9
23.4	81.3
23.6	80.7
23.8	80.0
24.0	79.3
24.2	78.5
24.4	77.8
24.6	77.1
24.8	76.4
25.0	75.6
25.2	74.9
25.4	74.1
25.6	73.3
25.8	72.5
26.0	71.6
26.2	70.8
26.4	69.9
26.6	69.0
26.8	68.1
27.0	67.2
27.2	66.4
27.4	65.5
27.6	64.6
27.8	63.7
28.0	62.8
28.2	61.8
28.4	60.9
28.6	59.9
28.8	58.9
29.0	57.9
29.2	56.9
29.4	55.9
29.6	54.9
29.8	53.9
30.0	52.9
30.2	51.9
30.4	50.8
30.6	49.8
30.8	48.8
31.0	47.9
31.2	46.9
31.4	45.9
31.6	44.9
31.8	43.9
32.0	42.9
32.2	41.9
32.4	41.0
32.6	40.0
32.8	39.1
33.0	38.2
33.2	37.3
33.4	36.4
33.6	35.5
33.8	34.5
34.0	33.6
34.2	32.7
34.4	31.8
34.6	30.9
34.8	29.9
35.0	29.1
35.2	28.2
35.4	27.4
35.6	26.6
35.8	25.8
36.0	25.0
36.2	24.2
36.4	23.5
36.6	22.7
36.8	22.0
37.0	21.3
37.2	20.6
37.4	20.0
37.6	19.3
37.8	18.7
38.0	18.1
38.2	17.4
38.4	16.8
38.6	16.2
38.8	15.7
39.0	15.1
39.2	14.6
39.4	14.0
39.6	13.5
39.8	13.0
40.0	12.5
40.2	12.0
40.4	11.5
40.6	11.1
40.8	10.6
41.0	10.2
41.2	9.8
41.4	9.4
41.6	9.0
41.8	8.6
42.0	8.3
42.2	7.9
42.4	7.6
42.6	7.3
42.8	7.0
43.0	6.7
43.2	6.4
43.4	6.1
43.6	5.9
43.8	5.6
44.0	5.3
44.2	5.1
44.4	4.9
44.6	4.6
44.8	4.4
45.0	4.2
45.2	4.0
45.4	3.8
45.6	3.6
45.8	3.5
46.0	3.3
46.2	3.2
46.4	3.0
46.6	2.8
46.8	2.7
47.0	2.6
47.2	2.4
47.4	2.3
47.6	2.2
47.8	2.1
48.0	2.0
48.2	1.9
48.4	1.8
48.6	1.7
48.8	1.6
49.0	1.5
49.2	1.5
49.4	1.4
49.6	1.3
49.8	1.3
50.0	1.2
50.2	1.2
50.4	1.2
50.6	1.1
50.8	1.1
51.0	1.0
51.2	1.0
51.4	0.9
51.6	0.9
51.8	0.9
52.0	0.8
52.2	0.8
52.4	0.8
52.6	0.8
52.8	0.7
53.0	0.7
53.2	0.7
53.4	0.7
53.6	0.6
53.8	0.6
54.0	0.6
54.2	0.5
54.4	0.5
54.6	0.5
54.8	0.5
55.0	0.5
55.2	0.4
55.4	0.4
55.6	0.4
55.8	0.4
56.0	0.4
56.2	0.4
56.4	0.4
56.6	0.4
56.8	0.4
57.0	0.4
57.2	0.4
57.4	0.4
57.6	0.4
57.8	0.4
58.0	0.4
58.2	0.4
58.4	0.4
58.6	0.4
58.8	0.4
59.0	0.4
59.2	0.4
59.4	0.4
59.6	0.4
59.8	0.4
60.0	0.4
